iter,elapsed_s,inference_only_ms,full_cycle_ms,gpu_temp_c
1,0.782,318.9651,427.9135,86
2,1.549,319.3455,424.5749,87
3,2.359,320.5925,429.4278,86
4,3.144,321.1879,402.9751,87
5,3.911,320.3199,423.8803,88
6,4.721,323.5505,425.7843,89
7,5.489,322.6823,405.8014,90
8,6.276,323.6037,422.6861,90
9,7.041,324.7386,417.8493,91
10,7.865,325.9130,433.8268,91
11,8.646,326.7149,432.1645,93
12,9.474,345.3042,439.2633,92
13,10.332,371.0457,447.9978,92
14,11.256,408.2882,456.3020,93
15,12.264,435.4200,527.2334,93
16,13.217,473.5945,438.4854,94
17,14.201,363.5249,574.0831,94
18,15.368,526.6621,598.0280,95
19,16.561,520.8628,631.1486,95
20,17.765,540.2587,621.3380,96
21,18.963,528.4255,605.1117,96
22,20.085,377.6894,697.5111,96
23,21.524,634.5603,762.3734,97
24,23.244,785.2165,864.4240,97
25,25.884,875.8033,1719.4590,96
26,29.423,1696.7403,1782.7850,97
27,32.948,1687.4380,1777.0597,97
28,36.444,1679.1686,1773.6076,97
29,40.025,1732.5430,1786.0248,98
30,43.604,1693.7975,1820.3044,98
31,47.269,1752.2992,1866.8123,98
32,50.919,1751.3842,1860.6458,99
33,54.562,1751.6421,1868.2303,99
34,58.242,1751.5587,1894.8928,100
35,61.892,1751.8029,1858.3408,100
36,65.52,1752.0169,1835.8101,100
37,69.172,1752.2255,1832.4166,101
38,72.86,1752.5128,1875.9626,101
39,76.693,1857.3926,1935.0103,101
40,80.416,1812.4296,1850.5072,101
41,84.068,1767.6432,1838.9671,101
42,87.743,1752.5486,1855.8183,101
43,91.409,1752.5909,1849.9955,101
44,95.085,1767.7811,1866.0369,101
45,98.791,1767.6167,1890.2289,101
46,102.485,1782.7817,1867.3613,101
47,106.129,1767.7020,1835.2818,101
48,109.76,1752.6615,1837.7180,101
49,113.489,1797.4164,1890.6729,101
50,117.161,1797.6210,1833.9916,101
51,179.704,344.0155,490.8700,94
52,180.772,446.4638,579.6138,94
53,181.783,489.1113,486.5699,95
54,182.826,360.4470,620.4589,95
55,184.019,522.2837,633.4449,96
56,185.133,438.4767,634.0842,96
57,186.369,527.8571,644.6231,96
58,187.812,568.9298,830.3853,97
59,189.568,784.1814,929.4463,97
60,191.861,988.0648,1261.8269,97
61,194.989,1328.6791,1743.2744,97
62,198.565,1719.3869,1791.1837,98
63,202.113,1645.2191,1859.8099,98
64,205.78,1740.3861,1860.4091,99
65,209.46,1751.4629,1865.1896,99
66,213.136,1751.7821,1860.1819,100
67,216.804,1752.1930,1855.2668,101
68,220.52,1752.5813,1903.3434,101
69,224.36,1858.0153,1916.5288,101
70,228.228,1863.6791,1961.5819,101
71,232.105,1874.3554,1985.5745,102
72,236.055,1888.1521,2003.0344,101
73,240.048,1918.8978,2032.3481,101
74,244.097,1933.6393,2052.1695,101
75,248.085,1919.3240,2023.0554,101
76,252.153,1933.4154,2070.6473,101
77,256.243,1962.9484,2063.9952,101
78,260.366,1993.9439,2089.8701,101
79,264.576,2022.3385,2128.7487,101
80,268.844,2061.2437,2163.9438,101
81,273.157,2096.6156,2170.6091,102
82,277.505,2097.6961,2184.6149,101
83,281.891,2098.3587,2227.0185,101
84,286.304,2143.0083,2223.4653,101
85,290.71,2158.0704,2188.4553,101
86,295.096,2124.0308,2221.1535,101
87,299.617,2187.9016,2262.2663,101
88,304.032,2113.5485,2262.5161,102
89,308.48,2155.0835,2251.7450,102
90,313.054,2233.4390,2302.7789,102
91,317.565,2207.8970,2262.8852,102
92,322.222,2232.7215,2390.2701,102
93,326.838,2233.3785,2329.4216,101
94,331.411,2202.4931,2312.1354,101
95,335.949,2189.1633,2317.0507,102
96,340.486,2190.7135,2300.6213,101
97,345.071,2189.9016,2330.3769,102
98,349.642,2202.8823,2319.2030,102
99,354.256,2232.9779,2342.0722,102
100,358.895,2248.4337,2329.5056,102
