iter,elapsed_s,inference_only_ms,full_cycle_ms,gpu_temp_c
1,0.764,315.0529,408.2408,80
2,1.54,314.8774,417.2753,81
3,2.315,316.1721,397.1742,81
4,3.059,316.2871,404.8187,83
5,3.879,319.0250,440.3707,83
6,4.645,318.3271,428.0388,85
7,5.448,318.9431,438.3502,85
8,6.257,319.7585,447.9665,86
9,7.028,320.6697,437.1011,87
10,7.804,322.2701,431.5371,87
11,8.595,320.8898,409.0591,87
12,9.369,321.1756,428.8524,89
13,10.163,323.1511,431.0237,89
14,10.98,322.6905,433.8330,89
15,11.827,323.4412,457.6199,90
16,12.629,323.7230,414.9089,91
17,13.415,325.5982,419.8693,91
18,14.205,338.0645,427.4469,93
19,15.079,374.0776,440.1281,92
20,15.934,344.7240,487.3933,93
21,16.908,407.8270,543.1931,94
22,17.952,452.0615,550.1827,93
23,18.947,371.3688,600.0877,94
24,20.019,536.8096,471.2019,95
25,21.22,520.1629,638.3710,95
