elapsed_s_in_rest,elapsed_s_total,gpu_temp_c
0.0,117.16,101
2.02,119.18,100
4.07,121.23,99
6.13,123.3,99
8.18,125.34,99
10.25,127.41,98
12.3,129.46,98
14.34,131.5,98
16.39,133.55,97
18.43,135.59,96
20.48,137.64,96
22.52,139.68,95
24.57,141.73,95
26.63,143.79,95
28.67,145.84,94
30.74,147.9,94
32.8,149.97,93
34.85,152.01,93
36.92,154.08,93
38.96,156.12,92
41.01,158.17,92
43.05,160.22,91
45.12,162.28,91
47.17,164.33,91
49.22,166.38,90
51.28,168.45,90
53.35,170.51,90
55.42,172.58,89
57.49,174.65,89
59.56,176.72,89
60,178.85,88
