iter,inference_only_ms,full_cycle_ms
1,323.6382,440.9573
2,321.8273,432.2504
3,322.2394,431.2073
4,322.3074,417.6297
5,323.7681,407.2668
6,324.7507,410.4759
7,325.1171,424.2918
8,325.1621,436.0705
9,327.2503,432.7671
10,325.8237,430.8164
11,327.6544,408.5364
12,327.8038,413.4468
13,329.8308,408.8283
14,330.5751,434.0431
15,342.1897,432.4512
16,367.6131,455.6548
17,394.7495,492.8712
18,414.7872,458.4736
19,463.6545,570.4110
20,486.8106,464.0761
21,494.6775,623.2790
22,540.6238,614.6515
23,540.2244,626.3842
24,540.2239,639.4815
25,540.2146,627.8406
26,540.2335,642.1562
27,630.5964,732.3932
28,742.2899,899.7513
29,919.6836,1024.2028
30,1224.7503,1260.1706
31,1625.5413,1770.9318
32,1750.6545,1793.6218
33,1751.7024,1819.1797
34,1751.0641,1803.2382
35,1752.3939,1813.7426
36,1751.3380,1860.8330
37,1752.3888,1866.3847
38,1751.6618,1865.9242
39,1752.7614,1865.9330
40,1751.9163,1866.9353
41,1753.0899,1866.3705
42,1752.3064,1855.0594
43,1753.4545,1859.7336
44,1767.4983,1879.5759
45,1768.7627,1835.6275
46,1752.6622,1843.2433
47,1753.4336,1862.1833
48,1827.3406,1953.5415
49,1813.4613,1856.3551
50,1752.5343,1860.6865
51,1753.6536,1842.9812
52,1822.5516,1896.2584
53,1828.4426,1867.9255
54,1812.5180,1871.3515
55,1798.4578,1862.9045
56,1752.6932,1883.2397
57,1768.7143,1867.3901
58,1752.5928,1848.0860
59,1783.6194,1863.9783
60,1767.6368,1893.8737
61,1797.3684,1875.0416
62,1812.6915,1895.4670
63,1797.5380,1922.3153
64,1812.7799,1908.0739
65,1812.4703,1930.0467
66,1785.6592,1959.7818
67,1842.4682,1916.1714
68,1857.5263,1946.2625
69,1861.5437,1960.5704
70,1887.5821,1917.1884
71,1917.3515,1973.3344
72,1903.2604,1960.6112
73,1933.2524,1989.7694
74,1933.6936,1991.8309
75,1962.8387,2053.7974
76,1979.1439,2035.6894
77,1977.1999,2112.3134
78,1993.3939,2020.5550
79,2023.0489,2066.5187
80,2068.1075,2096.5030
81,2082.0834,2110.9739
82,2064.8781,2107.9741
83,2100.7477,2141.6786
84,2097.0974,2161.0639
85,2101.7531,2136.0885
86,2140.1372,2190.5603
87,2119.0743,2181.8744
88,2099.0979,2173.1291
89,2113.5469,2202.1530
90,2113.6699,2202.4211
91,2122.8967,2176.3745
92,2128.0674,2200.0103
93,2158.8448,2204.6628
94,2123.9966,2156.8586
95,2158.8524,2204.8726
96,2159.0375,2245.1032
97,2172.5593,2174.9383
98,2173.4030,2242.8613
99,2228.1722,2253.6070
100,2203.8761,2221.9644
